Tithi and Nakṣatra Times;;;;;;Rohiṇī  (< Kṛttikā) = Jayantī Md;;;;;;;;;A: Ahorātra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
Source:;;Madan Gupta Panjika;;;;Punarvasu (< Ārdrā) = Jayā;;;;;;;;;K: Kṣaya;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
Year:;;2020–21;;;;Puṣyā Puṣyā (< Punarvasu) = Pāpa-nāśinī;;;;;;;;;VD: Vaiṣṇava Month Day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
Location:;;Kolkata, India;;;;Śravaṇā (< Uttarāṣāḍhā) = Vijayā;;;;;;;;;RT: Relative tithi;;;;;;;;;Location for conversion:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Sign:;;;;;;;;;;;;;;;;;;;;;Difference in UTC:;;2:30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;UTC:;?;;;;;;;;;;;;;;;;;;;;;UTC:;?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mās;Pak;Tithi;Start;End;Date;Mon;Year;A;K;Srise;Sset;Date;Mon;Year;VD;RT;Nakṣatra;Start;End;Date;Mon;Year;Day;Tithi;Start;End;Date;Mon;Year;Day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;;Chaturthī;;19:03;25;Mar;2023;;;5:41;;26;Mar;2023;19;5;;;;;;;;Chaturthī;;16:33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Pañchamī;;19:08;26;Mar;2023;;;5:40;;27;Mar;2023;20;6;;;;;;;;Pañchamī;;16:38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Śaṣṭhī;;19:43;27;Mar;2023;;;5:39;;28;Mar;2023;21;7;;;;;;;;Śaṣṭhī;;17:13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Saptamī;;20:48;28;Mar;2023;;;5:38;;29;Mar;2023;22;8;;;;;;;;Saptamī;;18:18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Aṣṭamī;;22:19;29;Mar;2023;;;5:37;;30;Mar;2023;23;9;;;;;;;;Aṣṭamī;;19:49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Navamī;;0:09;31;Mar;2023;;;5:36;;31;Mar;2023;24;10;;;;;;;;Navamī;;21:39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Daśamī;;2:13;1;Apr;2023;;;5:35;;1;Apr;2023;25;11;;;;;;;;Daśamī;;23:43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Ekādaśī;2:13;4:19;2;Apr;2023;;;5:34;;2;Apr;2023;26;12;;;;;;;;Ekādaśī;23:43;1:49;;;;;;;0:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Dvādaśī;4:19;6:15;3;Apr;2023;A;;5:33;17:49;3;Apr;2023;27;12;N;;;;;;;Dvādaśī;1:49;3:45;;;;;;0:00;0:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Trayodaśī;6:15;7:55;4;Apr;2023;;;5:32;17:49;4;Apr;2023;28;13;;;;;;;;Trayodaśī;3:45;5:25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
