masa;tithi;paksha;nakshatra_name;start;end
Shridhar;ekadashi;G;shravana;27-08-2023 01:13;27-08-2023 23:38
Hrishikesh;ekadashi;G;shravana;26-09-2023 09:14;27-09-2023 07:41
Narayana;ekadashi;G;rohini;21-01-2024 05:50;22-01-2024 05:54
Madhava;dvadashi;G;punarvasu;21-02-2024 14:30;22-02-2024 15:46
Madhava;trayodashi;G;pushya;22-02-2024 15:46;23-02-2024 17:30
