masa;tithi;paksha;nakshatra_name;start;end
shridhar;ekadashi;G;shravana;2023-08-27 01:13;2023-08-27 23:38
hrishikesh;ekadashi;G;shravana;2023-09-26 09:14;2023-09-27 07:41
narayan;ekadashi;G;rohini;2024-01-21 05:50;2024-01-22 05:54
madhava;dvadashi;G;punarvasu;2024-02-21 14:30;2024-02-22 15:46
madhava;trayodashi;G;pushya;2024-02-22 15:46;2024-02-23 17:30
