barcelona;533;2018-03-25;2018-10-28;;
barcelona;534;2019-03-31;2019-10-27;;
barcelona;535;2020-03-29;2020-10-25;;
budapest;533;2018-03-25;2018-10-28;;
budapest;534;2019-03-31;2019-10-27;;
budapest;535;2020-03-29;2020-10-25;;
buffalo;533;2018-03-11;2018-11-04;2019-03-10;2019-03-21
buffalo;534;2019-03-10;2019-11-03;;
buffalo;535;2020-03-08;2020-11-01;;
dnepropetrovsk;533;2018-03-25;2018-10-28;;
dnepropetrovsk;534;2019-03-31;2019-10-27;;
dnepropetrovsk;535;2020-03-29;2020-10-25;;
guadalajara;533;2018-04-01;2018-10-28;;
guadalajara;535;2020-04-05;2020-10-25;;
guadalajara;534;2019-04-07;2019-10-27;;
haifa;533;2018-03-23;2018-10-28;;
haifa;534;2019-03-29;2019-10-27;;
haifa;535;2020-03-27;2020-10-25;;
heilbronn;536;2021-03-28;2021-10-31;;
heilbronn;538;2023-03-26;2023-10-29;2024-03-31;2024-10-27
kharkiv;533;2018-03-25;2018-10-28;;
kharkiv;534;2019-03-31;2019-10-27;;
kharkiv;535;2020-03-29;2020-10-25;;
herson;533;2018-03-25;2018-10-28;;
herson;534;2019-03-31;2019-10-27;;
herson;535;2020-03-29;2020-10-25;;
kyiv;533;2018-03-25;2018-10-28;;
kyiv;534;2019-03-31;2019-10-27;;
kyiv;535;2020-03-29;2020-10-25;;
london;533;2018-03-25;2018-10-28;;
london;534;2019-03-31;2019-10-27;;
london;535;2020-03-29;2020-10-25;;
lviv;533;2018-03-25;2018-10-28;;
lviv;534;2019-03-31;2019-10-27;;
lviv;535;2020-03-29;2020-10-25;;
maalot_tarshiha;533;2018-03-23;2018-10-28;;
maalot_tarshiha;534;2019-03-29;2019-10-27;;
maalot_tarshiha;535;2020-03-27;2020-10-25;;
merida;533;2018-04-01;2018-10-28;;
merida;534;2019-04-07;2019-10-27;;
merida;535;2020-04-05;2020-10-25;;
merom_golan;533;2018-03-23;2018-10-28;;
merom_golan;534;2019-03-29;2019-10-27;;
merom_golan;535;2020-03-27;2020-10-25;;
mexico_city;533;2018-04-01;2018-10-28;;
mexico_city;534;2019-04-07;2019-10-27;;
mexico_city;535;2020-04-05;2020-10-25;;
miami;533;2018-03-11;2018-11-04;2019-03-10;2019-03-21
miami;534;2019-03-10;2019-11-03;;
miami;535;2020-03-08;2020-11-01;;
milan;533;2018-03-25;2018-10-28;;
milan;534;2019-03-31;2019-10-27;;
milan;535;2020-03-29;2020-10-25;;
morelia;533;2018-04-01;2018-10-28;;
morelia;534;2019-04-07;2019-10-27;;
morelia;535;2020-04-05;2020-10-25;;
new_york;533;2018-03-11;2018-11-04;2019-03-10;2019-03-21
new_york;534;2019-03-10;2019-11-03;;
new_york;535;2020-03-08;2020-11-01;;
odessa;533;2018-03-25;2018-10-28;;
odessa;534;2019-03-31;2019-10-27;;
odessa;535;2020-03-29;2020-10-25;;
riga;533;2018-03-25;2018-10-28;;
riga;534;2019-03-31;2019-10-27;;
riga;535;2020-03-29;2020-10-25;;
rome;533;2018-03-25;2018-10-28;;
