masa;tithi;paksha;nakshatra_name;start;end
hrishikesh;dvadashi;G;shravana;2024-07-03 05:16;2024-07-04 04:36
narayan;ekadashi;G;rohini;2025-01-10 13:36;2025-01-11 12:24
govinda;ekadashi;G;pushya;2025-03-10 2:22;2025-03-11 2:31
