unmilani;Unmilani <b>Mahadvadashi</b>;Унмилани <b>махадвадаши</b>
vyanjuli;Vyanjuli <b>Mahadvadashi</b>;Вьянджули <b>махадвадаши</b>
trisprisha;Trisprisha <b>Mahadvadashi</b>;Трисприша <b>махадвадаши</b>
pakshavarddhini;Paksha Varddhini <b>Mahadvadashi</b>;Пакша Варддхини <b>махадвадаши</b>
jaya;Jaya <b>Mahadvadashi</b>;Джая <b>махадвадаши</b>
vijaya;Vijaya <b>Mahadvadashi</b>;Виджая <b>махадвадаши</b>
jayanti;Jayanti <b>Mahadvadashi</b>;Джаянти <b>махадвадаши</b>
papanashini;Papa Nashini <b>Mahadvadashi</b>;Папа Нашини <b>махадвадаши</b>
