year;slug;date;en;ru
545;gundicha-marjana;2030-07-02;<a href="http://scsmath.com/calendar_events/06_Gundicha.html"><b>Gundicha Marjan: </b>cleaning at the Gundicha Temple at Sri Puri Dham, and cleaning of all Temples of the Lord.</a>;<b>Гундича Марджана:</b> большая уборка в храме Гундича в Шри Пури Дхаме, уборка во всех храмах Господа.
538;hera-panchami;2023-06-24;<a href="http://scsmath.com/calendar_events/06_Hera_Panchami.html">Hera Panchami. Sri Sri Laksmi Vijay</a> in Sri Puri Dham.;Хера Панчами. Шри Шри Лакшми Виджая (в день праздника в Шри Пури Дхаме).
539;hera-panchami;2024-07-11;<a href="http://scsmath.com/calendar_events/06_Hera_Panchami.html">Hera Panchami. Sri Sri Laksmi Vijay</a> in Sri Puri Dham.;Хера Панчами. Шри Шри Лакшми Виджая (в день праздника в Шри Пури Дхаме).
540;hera-panchami;2025-07-01;<a href="http://scsmath.com/calendar_events/06_Hera_Panchami.html">Hera Panchami. Sri Sri Laksmi Vijay</a> in Sri Puri Dham.;Хера Панчами. Шри Шри Лакшми Виджая (в день праздника в Шри Пури Дхаме).
541;hera-panchami;2026-07-20;<a href="http://scsmath.com/calendar_events/06_Hera_Panchami.html">Hera Panchami. Sri Sri Laksmi Vijay</a> in Sri Puri Dham.;Хера Панчами. Шри Шри Лакшми Виджая (в день праздника в Шри Пури Дхаме).
542;hera-panchami;2027-07-09;<a href="http://scsmath.com/calendar_events/06_Hera_Panchami.html">Hera Panchami. Sri Sri Laksmi Vijay</a> in Sri Puri Dham.;Хера Панчами. Шри Шри Лакшми Виджая (в день праздника в Шри Пури Дхаме).
543;hera-panchami;2028-06-28;<a href="http://scsmath.com/calendar_events/06_Hera_Panchami.html">Hera Panchami. Sri Sri Laksmi Vijay</a> in Sri Puri Dham.;Хера Панчами. Шри Шри Лакшми Виджая (в день праздника в Шри Пури Дхаме).
544;hera-panchami;2029-07-17;<a href="http://scsmath.com/calendar_events/06_Hera_Panchami.html">Hera Panchami. Sri Sri Laksmi Vijay</a> in Sri Puri Dham.;Хера Панчами. Шри Шри Лакшми Виджая (в день праздника в Шри Пури Дхаме).
545;hera-panchami;2030-07-07;<a href="http://scsmath.com/calendar_events/06_Hera_Panchami.html">Hera Panchami. Sri Sri Laksmi Vijay</a> in Sri Puri Dham.;Хера Панчами. Шри Шри Лакшми Виджая (в день праздника в Шри Пури Дхаме).
538;punar-yatra;2023-06-28;Punar Yatra of Sri Jagannathdev (Return car festival).;Пунар Ятра Шри Джаганнатхадева (фестиваль возвращения колесниц).
539;punar-yatra;2024-07-15;Punar Yatra of Sri Jagannathdev (Return car festival).;Пунар Ятра Шри Джаганнатхадева (фестиваль возвращения колесниц).
540;punar-yatra;2025-07-05;Punar Yatra of Sri Jagannathdev (Return car festival).;Пунар Ятра Шри Джаганнатхадева (фестиваль возвращения колесниц).
541;punar-yatra;2026-07-24;Punar Yatra of Sri Jagannathdev (Return car festival).;Пунар Ятра Шри Джаганнатхадева (фестиваль возвращения колесниц).
542;punar-yatra;2027-07-13;Punar Yatra of Sri Jagannathdev (Return car festival).;Пунар Ятра Шри Джаганнатхадева (фестиваль возвращения колесниц).
543;punar-yatra;2028-07-02;Punar Yatra of Sri Jagannathdev (Return car festival).;Пунар Ятра Шри Джаганнатхадева (фестиваль возвращения колесниц).
544;punar-yatra;2029-07-21;Punar Yatra of Sri Jagannathdev (Return car festival).;Пунар Ятра Шри Джаганнатхадева (фестиваль возвращения колесниц).
545;punar-yatra;2030-07-11;Punar Yatra of Sri Jagannathdev (Return car festival).;Пунар Ятра Шри Джаганнатхадева (фестиваль возвращения колесниц).
538;snana-yatra;2023-06-04;<a href="http://scsmath.com/calendar_events/06_Snan_Yatra.html">Snan Yatra (bathing) of Sri Jagannathdev.</a>;<i>Снана-ятра</i> (омовение) Шри Джаганнатхадева.
539;snana-yatra;2024-06-22;<a href="http://scsmath.com/calendar_events/06_Snan_Yatra.html">Snan Yatra (bathing) of Sri Jagannathdev.</a>;<i>Снана-ятра</i> (омовение) Шри Джаганнатхадева.
540;snana-yatra;2025-06-11;<a href="http://scsmath.com/calendar_events/06_Snan_Yatra.html">Snan Yatra (bathing) of Sri Jagannathdev.</a>;<i>Снана-ятра</i> (омовение) Шри Джаганнатхадева.
541;snana-yatra;2026-06-29;<a href="http://scsmath.com/calendar_events/06_Snan_Yatra.html">Snan Yatra (bathing) of Sri Jagannathdev.</a>;<i>Снана-ятра</i> (омовение) Шри Джаганнатхадева.
542;snana-yatra;2027-06-18;<a href="http://scsmath.com/calendar_events/06_Snan_Yatra.html">Snan Yatra (bathing) of Sri Jagannathdev.</a>;<i>Снана-ятра</i> (омовение) Шри Джаганнатхадева.
543;snana-yatra;2028-06-07;<a href="http://scsmath.com/calendar_events/06_Snan_Yatra.html">Snan Yatra (bathing) of Sri Jagannathdev.</a>;<i>Снана-ятра</i> (омовение) Шри Джаганнатхадева.
544;snana-yatra;2029-06-26;<a href="http://scsmath.com/calendar_events/06_Snan_Yatra.html">Snan Yatra (bathing) of Sri Jagannathdev.</a>;<i>Снана-ятра</i> (омовение) Шри Джаганнатхадева.
545;snana-yatra;2030-06-15;<a href="http://scsmath.com/calendar_events/06_Snan_Yatra.html">Snan Yatra (bathing) of Sri Jagannathdev.</a>;<i>Снана-ятра</i> (омовение) Шри Джаганнатхадева.
538;chandana-yatra;2023-04-22;<a href="http://scsmath.com/calendar_events/04_ChandanYatra.html">Beginning of 21 days Chandan Yatra of Sri Sri Jagannathdev.</a>;Начало 21‑дневной Чандан Ятры Шри Шри Джаганнатхадева.
539;chandana-yatra;2024-05-10;<a href="http://scsmath.com/calendar_events/04_ChandanYatra.html">Beginning of 21 days Chandan Yatra of Sri Sri Jagannathdev.</a>;Начало 21‑дневной Чандан Ятры Шри Шри Джаганнатхадева.
540;chandana-yatra;2025-04-30;<a href="http://scsmath.com/calendar_events/04_ChandanYatra.html">Beginning of 21 days Chandan Yatra of Sri Sri Jagannathdev.</a>;Начало 21‑дневной Чандан Ятры Шри Шри Джаганнатхадева.
541;chandana-yatra;2026-04-19;<a href="http://scsmath.com/calendar_events/04_ChandanYatra.html">Beginning of 21 days Chandan Yatra of Sri Sri Jagannathdev.</a>;Начало 21‑дневной Чандан Ятры Шри Шри Джаганнатхадева.
542;chandana-yatra;2027-05-09;<a href="http://scsmath.com/calendar_events/04_ChandanYatra.html">Beginning of 21 days Chandan Yatra of Sri Sri Jagannathdev.</a>;Начало 21‑дневной Чандан Ятры Шри Шри Джаганнатхадева.
543;chandana-yatra;2028-04-27;<a href="http://scsmath.com/calendar_events/04_ChandanYatra.html">Beginning of 21 days Chandan Yatra of Sri Sri Jagannathdev.</a>;Начало 21‑дневной Чандан Ятры Шри Шри Джаганнатхадева.
544;chandana-yatra;2029-05-16;<a href="http://scsmath.com/calendar_events/04_ChandanYatra.html">Beginning of 21 days Chandan Yatra of Sri Sri Jagannathdev.</a>;Начало 21‑дневной Чандан Ятры Шри Шри Джаганнатхадева.
545;chandana-yatra;2030-05-16;<a href="http://scsmath.com/calendar_events/04_ChandanYatra.html">Beginning of 21 days Chandan Yatra of Sri Sri Jagannathdev.</a>;Начало 21‑дневной Чандан Ятры Шри Шри Джаганнатхадева.
538;mahaprabhu-leaves-home;2024-01-13;<a href="http://scsmath.com/calendar_events/01_Mahaprabhu_LeavesForSannyas.html">Sriman Mahaprabhu leaves Nabadwip in the night to go to Katwa to take sannyas</a>.;Шриман Махапрабху ночью покидает Навадвип и отправляется в Катву, чтобы принять <i>санньясу</i>.
539;mahaprabhu-leaves-home;2025-01-13;<a href="http://scsmath.com/calendar_events/01_Mahaprabhu_LeavesForSannyas.html">Sriman Mahaprabhu leaves Nabadwip in the night to go to Katwa to take sannyas</a>.;Шриман Махапрабху ночью покидает Навадвип и отправляется в Катву, чтобы принять <i>санньясу</i>.
540;mahaprabhu-leaves-home;2026-01-13;<a href="http://scsmath.com/calendar_events/01_Mahaprabhu_LeavesForSannyas.html">Sriman Mahaprabhu leaves Nabadwip in the night to go to Katwa to take sannyas</a>.;Шриман Махапрабху ночью покидает Навадвип и отправляется в Катву, чтобы принять <i>санньясу</i>.
538;sannyasa-lila-mahaprabhu;2024-01-15;Remembrance of <a href="http://scsmath.com/calendar_events/01_Mahaprabhu_Sannyaslila.html">Sriman Mahaprabhu's sannyas-lila</a>.;Памятование о санньяса-лиле Шримана Махапрабху. 
539;sannyasa-lila-mahaprabhu;2025-01-15;Remembrance of <a href="http://scsmath.com/calendar_events/01_Mahaprabhu_Sannyaslila.html">Sriman Mahaprabhu's sannyas-lila</a>.;Памятование о санньяса-лиле Шримана Махапрабху. 
540;sannyasa-lila-mahaprabhu;2026-01-15;Remembrance of <a href="http://scsmath.com/calendar_events/01_Mahaprabhu_Sannyaslila.html">Sriman Mahaprabhu's sannyas-lila</a>.;Памятование о санньяса-лиле Шримана Махапрабху. 
