vishnu;pratipad;K;gaura-purnima-paran;Sri Gaura Purnima paran between %s and %s a.m. (in %s). <strong>Anandotsav of Sri Jagannath Mishra.</strong> Last gathering of the week-long yearly meeting at Sri Chaitanya Saraswat Math and yearly festival. Start of year %s Gaurabda.;Шри Гаура Пурнима паран от %s до %s (в %s). <strong>Анандотсав Шри Джаганнатха Мишры.</strong> Последний день ежегодного недельного фестиваля в Шри Чайтанья Сарасват Матхе. Начало %s года Гаурабда эры.
vishnu;panchami;K;;Festival at the appearance place of Srila Bhakti Raksak Sridhar Dev-Goswami Maharaj, Sripat Hapaniya: <a href="http://scsmath.com/events/calendar_events/03_Hapaniya_Deities_Installation.html"> grand appearance of the Holy Deities of Sripat Hapaniya, Sri Sri Guru Gauranga Radha Gopinath Jiu at Sri Chaitanya Saraswat Ashram.</a> Appearance of Tridandi Swami Srimad Bhakti Sharan Shanta Maharaj. Pancham Dol.;Фестиваль в Шрипат Хапании, месте Явления Шрилы Бхакти Ракшака Шридхара Дев-Госвами Махараджа: священный день явления Божеств Шри Шри Гауранга Радха Гопинатх джиу в Шрипат Хапании, Шри Чайтанья Сарасват Ашрам. День явления Триданди Свами Шримад Бхакти Шарана Шанты Махараджа. Панчама Дол.
vishnu;ashtami;K;;Appearance of Srila Srivas Pandit.;День явления Шриваса Пандита.
vishnu;navami;K;;Disappearance of Tridandi Swami Srimad Bhakti Vigraha Bhiksu Goswami Maharaj.;День ухода Триданди Свами Шримад Бхакти Виграха Бхикшу Госвами Махараджа.
vishnu;dvadashi;K;;Festival in honour of <a href="http://scsmath.com/events/calendar_events/03_VarahaNagar.html">Sriman Mahaprabhu's auspicious arrival at Varaha Nagar.</a> Disappearance of Srila Govinda Ghosh Thakur. Disappearance of Sripad Satyendrachandra Bhattacharya Mahoday.;Фестиваль в честь дня прибытия Шримана Махапрабху в Вараханагар. День ухода Шрилы Говинды Гхоша Тхакура. День ухода Шрипада Сатьендрачандры Бхаттачарьи Маходоя.
vishnu;panchami;G;;<a href="http://scsmath.com/events/calendar_events/03_Ramanujacharya.html">Appearance of Sripad Ramanuja Acharya</a> and <a href="http://scsmath.com/events/calendar_events/07_BonMaharaj.html">Tridandi Swami Srimad Bhakti Hriday Bon Maharaj.</a>;День явления Шрипада Рамануджи Ачарьи и Триданди Свами Шримад Бхакти Хридой Бон Махараджа.
vishnu;saptami;G;;Appearance of Tridandi Swami Srimad Bhakti Vilas Tirtha Maharaj.;День явления Триданди Свами Шримад Бхакти Вилас Тиртхи Махараджа.
vishnu;navami;G;rama-navami;<a href="http://scsmath.com/events/calendar_events/04_Rama-navami.html"><b>Sri Rama Navami.</b></a><b>Appearance at noon of Sri Ramachandra. Fast until noon.</b>;<b>Шри Рама Навами</b>.<b> Пост до полудня</b>. Явление Шри Рамачандры в полдень.
vishnu;dvadashi;G;gurudev-disappearance;<a href="http://scsmath.com/events/calendar_events/04_SrilaGovindaMaharaj-disap.html"><b>Festival in honour of the disappearance of Om Vishnupad Paramahamsa Parivrajakacharya-varya Ashtottara-shata-sri Srila Bhakti Sundar Govinda Dev-Goswami Maharaj.</b></a>;<b>Фестиваль в честь дня ухода Ом Вишнупады Парамахамсы Паривраджакачарья-варьи Аштоттара-шата-шри Шрилы Бхакти Сундара Говинды Дев-Госвами Махараджа.</b>
vishnu;purnima;G;vasanta-rasa;Vasanta Rasa of Sri Krishna. Rasa Yatra of Sri Balaram. Appearance of Srila Vamshi Vadanananda Thakur and <a href="http://scsmath.com/events/calendar_events/06_ShyamanandaPrabhu.html">Srila Shyamananda Prabhu</a>.;Васанта Раса Шри Кришны. Раса Ятра Шри Баларамы. День явления Шрилы Вамшивадананды Тхакура. День явления Шрилы Шьямананды Прабху.
madhusudan;panchami;K;;Disappearance of <a href="http://scsmath.com/events/calendar_events/04_KrishnaDasBabaji.html">Sripad Krishnadas Babaji Maharaj.</a>;День ухода Шрипада Кришнадаса Бабаджи Махараджа.
