vishnu;Vishnu;Вишну маса
madhusudan;Madhusudan;Мадхусудан маса
trivikram;Trivikram;Тривикрам маса
vaman;Vaman;Вамана маса
shridhar;Sridhar;Шридхар маса
hrishikesh;Hrishikesh;Хришикеш маса
padmanabha;Padmanabha;Падманабха маса
damodar;Damodar;Дамодар маса
keshava;Keshava;Кешава маса
narayan;Narayana;Нараяна маса
madhava;Madhava;Мадхава маса
govinda;Govinda;Говинда маса
purushottam;Purushottam;Пурушоттам маса
