masa;paksha;tithi;start;end;start_sunrise;next_day_sunrise;sunset;date;arunoday;type;nakshatra_name;nakshatra_start;nakshatra_end
Viṣṇu;K;Amāvasyā;2021-04-11 03:17;2021-04-12 04:42;2021-04-11 05:53;2021-04-12 05:50;2021-04-11 20:07;2021-04-11;2021-04-11 04:17;shuddha;;;
Viṣṇu;G;Pratipad;2021-04-12 04:42;2021-04-13 06:24;2021-04-12 05:50;2021-04-13 05:48;2021-04-12 20:09;2021-04-12;2021-04-12 04:14;sampurna;;;
Viṣṇu;G;Dvitīya;2021-04-13 06:24;2021-04-14 08:30;2021-04-13 05:48;2021-04-14 05:45;2021-04-13 20:11;2021-04-14;2021-04-14 04:09;shuddha;;;
Viṣṇu;G;Tṛtīya;2021-04-14 08:30;2021-04-15 10:35;2021-04-14 05:45;2021-04-15 05:42;2021-04-14 20:14;2021-04-15;2021-04-15 04:06;shuddha;;;
Viṣṇu;G;Chaturthī;2021-04-15 10:35;2021-04-16 12:32;2021-04-15 05:42;2021-04-16 05:39;2021-04-15 20:16;2021-04-16;2021-04-16 04:03;shuddha;;;
Viṣṇu;G;Pañchamī;2021-04-16 12:32;2021-04-17 14:15;2021-04-16 05:39;2021-04-17 05:36;2021-04-16 20:19;2021-04-17;2021-04-17 04:60;shuddha;;;
Viṣṇu;G;Śaṣṭhī;2021-04-17 14:15;2021-04-18 15:34;2021-04-17 05:36;2021-04-18 05:33;2021-04-17 20:21;2021-04-18;2021-04-18 03:57;shuddha;;;
Viṣṇu;G;Saptamī;2021-04-18 15:34;2021-04-19 16:27;2021-04-18 05:33;2021-04-19 05:30;2021-04-18 20:24;2021-04-19;2021-04-19 03:54;shuddha;;;
Viṣṇu;G;Aṣṭamī;2021-04-19 16:27;2021-04-20 16:48;2021-04-19 05:30;2021-04-20 05:27;2021-04-19 20:26;2021-04-20;2021-04-20 03:51;shuddha;;;
Viṣṇu;G;Navamī;2021-04-20 16:48;2021-04-21 16:39;2021-04-20 05:27;2021-04-21 05:24;2021-04-20 20:29;2021-04-21;2021-04-21 03:48;shuddha;;;
Viṣṇu;G;Daśamī;2021-04-21 16:39;2021-04-22 16:00;2021-04-21 05:24;2021-04-22 05:21;2021-04-21 20:31;2021-04-22;2021-04-22 03:45;shuddha;;;
Viṣṇu;G;Ekādaśī;2021-04-22 16:00;2021-04-23 14:54;2021-04-22 05:21;2021-04-23 05:19;2021-04-22 20:34;2021-04-23;2021-04-23 03:43;shuddha;;;
Viṣṇu;G;Dvādaśī;2021-04-23 14:54;2021-04-24 13:24;2021-04-23 05:19;2021-04-24 05:16;2021-04-23 20:36;2021-04-24;2021-04-24 03:40;shuddha;;;
Viṣṇu;G;Trayodaśī;2021-04-24 13:24;2021-04-25 11:34;2021-04-24 05:16;2021-04-25 05:13;2021-04-24 20:39;2021-04-25;2021-04-25 03:37;shuddha;;;
Viṣṇu;G;Chaturdaśī;2021-04-25 11:34;2021-04-26 09:28;2021-04-25 05:13;2021-04-26 05:10;2021-04-25 20:41;2021-04-26;2021-04-26 03:34;shuddha;;;
Viṣṇu;G;Pūrṇimā;2021-04-26 09:28;2021-04-27 07:11;2021-04-26 05:10;2021-04-27 05:07;2021-04-26 20:44;2021-04-27;2021-04-27 03:31;shuddha;;;
Madhusūdan;K;Pratipad;2021-04-27 07:11;2021-04-28 04:47;2021-04-27 05:07;2021-04-28 05:05;2021-04-27 20:46;2021-04-28;2021-04-28 03:29;kshaya;;;
Madhusūdan;K;Dvitīya;2021-04-28 04:47;2021-04-29 02:21;2021-04-28 05:05;2021-04-29 05:02;2021-04-28 20:49;2021-04-28;2021-04-28 03:29;viddha;;;
Madhusūdan;K;Tṛtīya;2021-04-29 02:21;2021-04-29 23:56;2021-04-29 05:02;2021-04-30 04:59;2021-04-29 20:51;2021-04-29;2021-04-29 03:26;shuddha;;;
Madhusūdan;K;Chaturthī;2021-04-29 23:56;2021-04-30 21:40;2021-04-29 05:02;2021-04-30 04:59;2021-04-29 20:51;2021-04-30;2021-04-30 03:23;shuddha;;;
Madhusūdan;K;Pañchamī;2021-04-30 21:40;2021-05-01 19:35;2021-04-30 04:59;2021-05-01 04:56;2021-04-30 20:54;2021-05-01;2021-05-01 03:20;shuddha;;;
Madhusūdan;K;Śaṣṭhī;2021-05-01 19:35;2021-05-02 17:47;2021-05-01 04:56;2021-05-02 04:54;2021-05-01 20:56;2021-05-02;2021-05-02 03:18;shuddha;;;
Madhusūdan;K;Saptamī;2021-05-02 17:47;2021-05-03 16:21;2021-05-02 04:54;2021-05-03 04:51;2021-05-02 20:59;2021-05-03;2021-05-03 03:15;shuddha;;;
Madhusūdan;K;Aṣṭamī;2021-05-03 16:21;2021-05-04 15:18;2021-05-03 04:51;2021-05-04 04:48;2021-05-03 21:01;2021-05-04;2021-05-04 03:12;shuddha;;;
Madhusūdan;K;Navamī;2021-05-04 15:18;2021-05-05 14:42;2021-05-04 04:48;2021-05-05 04:46;2021-05-04 21:03;2021-05-05;2021-05-05 03:10;shuddha;;;
