masa;paksha;tithi;start;end;start_sunrise;next_day_sunrise;sunset;date;arunoday;type;nakshatra_name;nakshatra_start;nakshatra_end
Madhusūdan;K;Śaṣṭhī;2021-05-01 22:05;2021-05-02 20:17;2021-05-01 05:09;2021-05-02 05:08;;2021-05-02;2021-05-02 03:32;shuddha;;;
Madhusūdan;K;Saptamī;2021-05-02 20:17;2021-05-03 18:51;2021-05-02 05:08;2021-05-03 05:07;;2021-05-03;2021-05-03 03:31;shuddha;;;
Madhusūdan;K;Aṣṭamī;2021-05-03 18:51;2021-05-04 17:48;2021-05-03 05:07;2021-05-04 05:07;;2021-05-04;2021-05-04 03:31;shuddha;;;
Madhusūdan;K;Navamī;2021-05-04 17:48;2021-05-05 17:12;2021-05-04 05:07;2021-05-05 05:06;;2021-05-05;2021-05-05 03:30;shuddha;;;
Madhusūdan;K;Daśamī;2021-05-05 17:12;2021-05-06 17:08;2021-05-05 05:06;2021-05-06 05:05;;2021-05-06;2021-05-06 03:29;shuddha;;;
Madhusūdan;K;Ekādaśī;2021-05-06 17:08;2021-05-07 17:34;2021-05-06 05:05;2021-05-07 05:05;;2021-05-07;2021-05-07 03:29;shuddha;;;
Madhusūdan;K;Dvādaśī;2021-05-07 17:34;2021-05-08 18:30;2021-05-07 05:05;2021-05-08 05:04;2021-05-07 18:04;2021-05-08;2021-05-08 03:28;shuddha;;;
Madhusūdan;K;Trayodaśī;2021-05-08 18:30;2021-05-09 19:53;2021-05-08 05:04;2021-05-09 05:04;2021-05-08 18:05;2021-05-09;2021-05-09 03:28;shuddha;;;
Madhusūdan;K;Chaturdaśī;2021-05-09 19:53;2021-05-10 21:37;2021-05-09 05:04;2021-05-10 05:03;;2021-05-10;2021-05-10 03:27;shuddha;;;
Madhusūdan;K;Amāvasyā;2021-05-10 21:37;2021-05-11 23:36;2021-05-10 05:03;2021-05-11 05:03;;2021-05-11;2021-05-11 03:27;shuddha;;;
Madhusūdan;G;Pratipad;2021-05-11 23:36;2021-05-13 01:40;2021-05-11 05:03;2021-05-12 05:02;;2021-05-12;2021-05-12 03:26;shuddha;;;
Madhusūdan;G;Dvitīya;2021-05-13 01:40;2021-05-14 03:36;2021-05-13 05:01;2021-05-14 05:01;;2021-05-13;2021-05-13 03:25;shuddha;;;
Madhusūdan;G;Tṛtīya;2021-05-14 03:36;2021-05-15 05:17;2021-05-14 05:01;2021-05-15 05:00;;2021-05-14;2021-05-14 03:25;sampurna;;;
Madhusūdan;G;Chaturthī;2021-05-15 05:17;2021-05-16 06:35;2021-05-15 05:00;2021-05-16 05:00;;2021-05-16;2021-05-16 03:24;shuddha;;;
Madhusūdan;G;Pañchamī;2021-05-16 06:35;2021-05-17 07:27;2021-05-16 05:00;2021-05-17 04:59;;2021-05-17;2021-05-17 03:23;shuddha;;;
Madhusūdan;G;Śaṣṭhī;2021-05-17 07:27;2021-05-18 07:48;2021-05-17 04:59;2021-05-18 04:59;;2021-05-18;2021-05-18 03:23;shuddha;;;
Madhusūdan;G;Saptamī;2021-05-18 07:48;2021-05-19 07:38;2021-05-18 04:59;2021-05-19 04:58;;2021-05-19;2021-05-19 03:22;shuddha;;;
Madhusūdan;G;Aṣṭamī;2021-05-19 07:38;2021-05-20 06:59;2021-05-19 04:58;2021-05-20 04:58;;2021-05-20;2021-05-20 03:22;shuddha;;;
Madhusūdan;G;Navamī;2021-05-20 06:59;2021-05-21 05:52;2021-05-20 04:58;2021-05-21 04:57;;2021-05-21;2021-05-21 03:21;shuddha;;;
Madhusūdan;G;Daśamī;2021-05-21 05:52;2021-05-22 04:22;2021-05-21 04:57;2021-05-22 04:57;;2021-05-22;2021-05-22 03:21;kshaya;;;
Madhusūdan;G;Ekādaśī;2021-05-22 04:22;2021-05-23 02:31;2021-05-22 04:57;2021-05-23 04:57;;2021-05-22;2021-05-22 03:21;viddha;;;
Madhusūdan;G;Dvādaśī;2021-05-23 02:31;2021-05-24 00:24;2021-05-23 04:57;2021-05-24 04:57;2021-05-23 18:12;2021-05-23;2021-05-23 03:21;shuddha;;;
Madhusūdan;G;Trayodaśī;2021-05-24 00:24;2021-05-24 22:06;2021-05-24 04:57;2021-05-25 04:57;2021-05-24 18:12;2021-05-24;2021-05-24 03:21;shuddha;;;
Madhusūdan;G;Chaturdaśī;2021-05-24 22:06;2021-05-25 19:41;2021-05-24 04:57;2021-05-25 04:57;;2021-05-25;2021-05-25 03:21;shuddha;;;
Madhusūdan;G;Pūrṇimā;2021-05-25 19:41;2021-05-26 17:14;2021-05-25 04:57;2021-05-26 04:56;;2021-05-26;2021-05-26 03:20;shuddha;;;
Trivikram;K;Pratipad;2021-05-26 17:14;2021-05-27 14:49;2021-05-26 04:56;2021-05-27 04:56;;2021-05-27;2021-05-27 03:20;shuddha;;;
Trivikram;K;Dvitīya;2021-05-27 14:49;2021-05-28 12:32;2021-05-27 04:56;2021-05-28 04:56;;2021-05-28;2021-05-28 03:20;shuddha;;;
