masa;paksha;tithi;start;end;start_sunrise;next_day_sunrise;third_day_sunrise;date;type
Madhusūdan;K;Aṣṭamī;2021-05-03 07:21;2021-05-04 06:18;2021-05-03 06:10;2021-05-04 06:09;2021-05-05 06:08;2021-05-04;shuddha
Madhusūdan;K;Navamī;2021-05-04 06:18;2021-05-05 05:42;2021-05-04 06:09;2021-05-05 06:08;2021-05-06 06:07;2021-05-04;kshaya
Madhusūdan;K;Daśamī;2021-05-05 05:42;2021-05-06 05:38;2021-05-05 06:08;2021-05-06 06:07;2021-05-07 06:06;2021-05-05;shuddha
Madhusūdan;K;Ekādaśī;2021-05-06 05:38;2021-05-07 06:04;2021-05-06 06:07;2021-05-07 06:06;2021-05-08 06:05;2021-05-06;shuddha
Madhusūdan;K;Dvādaśī;2021-05-07 06:04;2021-05-08 07:00;2021-05-07 06:06;2021-05-08 06:05;2021-05-09 06:04;2021-05-07;sampurna
Madhusūdan;K;Trayodaśī;2021-05-08 07:00;2021-05-09 08:23;2021-05-08 06:05;2021-05-09 06:04;2021-05-10 06:03;2021-05-09;shuddha
Madhusūdan;K;Chaturdaśī;2021-05-09 08:23;2021-05-10 10:07;2021-05-09 06:04;2021-05-10 06:03;2021-05-11 06:02;2021-05-10;shuddha
Madhusūdan;K;Amāvasyā;2021-05-10 10:07;2021-05-11 12:06;2021-05-10 06:03;2021-05-11 06:02;2021-05-12 06:02;2021-05-11;shuddha
Madhusūdan;G;Pratipad;2021-05-11 12:06;2021-05-12 14:10;2021-05-11 06:02;2021-05-12 06:02;2021-05-13 06:01;2021-05-12;shuddha
Madhusūdan;G;Dvitīya;2021-05-12 14:10;2021-05-13 16:06;2021-05-12 06:02;2021-05-13 06:01;2021-05-14 06:00;2021-05-13;shuddha
Madhusūdan;G;Tṛtīya;2021-05-13 16:06;2021-05-14 17:47;2021-05-13 06:01;2021-05-14 06:00;2021-05-15 05:59;2021-05-14;shuddha
Madhusūdan;G;Chaturthī;2021-05-14 17:47;2021-05-15 19:05;2021-05-14 06:00;2021-05-15 05:59;2021-05-16 05:58;2021-05-15;shuddha
Madhusūdan;G;Pañchamī;2021-05-15 19:05;2021-05-16 19:57;2021-05-15 05:59;2021-05-16 05:58;2021-05-17 05:57;2021-05-16;shuddha
Madhusūdan;G;Śaṣṭhī;2021-05-16 19:57;2021-05-17 20:18;2021-05-16 05:58;2021-05-17 05:57;2021-05-18 05:57;2021-05-17;shuddha
Madhusūdan;G;Saptamī;2021-05-17 20:18;2021-05-18 20:08;2021-05-17 05:57;2021-05-18 05:57;2021-05-19 05:56;2021-05-18;shuddha
Madhusūdan;G;Aṣṭamī;2021-05-18 20:08;2021-05-19 19:29;2021-05-18 05:57;2021-05-19 05:56;2021-05-20 05:55;2021-05-19;shuddha
Madhusūdan;G;Navamī;2021-05-19 19:29;2021-05-20 18:22;2021-05-19 05:56;2021-05-20 05:55;2021-05-21 05:55;2021-05-20;shuddha
Madhusūdan;G;Daśamī;2021-05-20 18:22;2021-05-21 16:52;2021-05-20 05:55;2021-05-21 05:55;2021-05-22 05:54;2021-05-21;shuddha
Madhusūdan;G;Ekādaśī;2021-05-21 16:52;2021-05-22 15:01;2021-05-21 05:55;2021-05-22 05:54;2021-05-23 05:53;2021-05-22;shuddha
