masa;paksha;tithi;start;end;start_sunrise;next_day_sunrise;sunset;date;arunoday;type;nakshatra_name;nakshatra_start;nakshatra_end
Madhusūdan;K;Tṛtīya;2021-04-29 02:21;2021-04-29 23:56;2021-04-29 05:16;2021-04-30 05:15;2021-04-29 19:21;2021-04-29;2021-04-29 03:40;shuddha;;;
Madhusūdan;K;Chaturthī;2021-04-29 23:56;2021-04-30 21:40;2021-04-29 05:16;2021-04-30 05:15;2021-04-29 19:21;2021-04-30;2021-04-30 03:39;shuddha;;;
Madhusūdan;K;Pañchamī;2021-04-30 21:40;2021-05-01 19:35;2021-04-30 05:15;2021-05-01 05:13;2021-04-30 19:22;2021-05-01;2021-05-01 03:37;shuddha;;;
Madhusūdan;K;Śaṣṭhī;2021-05-01 19:35;2021-05-02 17:47;2021-05-01 05:13;2021-05-02 05:12;2021-05-01 19:23;2021-05-02;2021-05-02 03:36;shuddha;;;
Madhusūdan;K;Saptamī;2021-05-02 17:47;2021-05-03 16:21;2021-05-02 05:12;2021-05-03 05:10;2021-05-02 19:24;2021-05-03;2021-05-03 03:34;shuddha;;;
Madhusūdan;K;Aṣṭamī;2021-05-03 16:21;2021-05-04 15:18;2021-05-03 05:10;2021-05-04 05:09;2021-05-03 19:25;2021-05-04;2021-05-04 03:33;shuddha;;;
Madhusūdan;K;Navamī;2021-05-04 15:18;2021-05-05 14:42;2021-05-04 05:09;2021-05-05 05:08;2021-05-04 19:26;2021-05-05;2021-05-05 03:32;shuddha;;;
Madhusūdan;K;Daśamī;2021-05-05 14:42;2021-05-06 14:38;2021-05-05 05:08;2021-05-06 05:06;2021-05-05 19:28;2021-05-06;2021-05-06 03:30;shuddha;;;
Madhusūdan;K;Ekādaśī;2021-05-06 14:38;2021-05-07 15:04;2021-05-06 05:06;2021-05-07 05:05;2021-05-06 19:29;2021-05-07;2021-05-07 03:29;shuddha;;;
Madhusūdan;K;Dvādaśī;2021-05-07 15:04;2021-05-08 16:00;2021-05-07 05:05;2021-05-08 05:04;2021-05-07 19:30;2021-05-08;2021-05-08 03:28;shuddha;;;
Madhusūdan;K;Trayodaśī;2021-05-08 16:00;2021-05-09 17:23;2021-05-08 05:04;2021-05-09 05:03;2021-05-08 19:31;2021-05-09;2021-05-09 03:27;shuddha;;;
Madhusūdan;K;Chaturdaśī;2021-05-09 17:23;2021-05-10 19:07;2021-05-09 05:03;2021-05-10 05:01;2021-05-09 19:32;2021-05-10;2021-05-10 03:25;shuddha;;;
Madhusūdan;K;Amāvasyā;2021-05-10 19:07;2021-05-11 21:06;2021-05-10 05:01;2021-05-11 05:00;2021-05-10 19:33;2021-05-11;2021-05-11 03:24;shuddha;;;
Madhusūdan;G;Pratipad;2021-05-11 21:06;2021-05-12 23:10;2021-05-11 05:00;2021-05-12 04:59;2021-05-11 19:34;2021-05-12;2021-05-12 03:23;shuddha;;;
Madhusūdan;G;Dvitīya;2021-05-12 23:10;2021-05-14 01:06;2021-05-12 04:59;2021-05-13 04:58;2021-05-12 19:36;2021-05-13;2021-05-13 03:22;shuddha;;;
Madhusūdan;G;Tṛtīya;2021-05-14 01:06;2021-05-15 02:47;2021-05-14 04:57;2021-05-15 04:56;2021-05-14 19:38;2021-05-14;2021-05-14 03:21;shuddha;;;
Madhusūdan;G;Chaturthī;2021-05-15 02:47;2021-05-16 04:05;2021-05-15 04:56;2021-05-16 04:55;2021-05-15 19:39;2021-05-15;2021-05-15 03:20;shuddha;;;
Madhusūdan;G;Pañchamī;2021-05-16 04:05;2021-05-17 04:57;2021-05-16 04:55;2021-05-17 04:54;2021-05-16 19:40;2021-05-16;2021-05-16 03:19;sampurna;;;
Madhusūdan;G;Śaṣṭhī;2021-05-17 04:57;2021-05-18 05:18;2021-05-17 04:54;2021-05-18 04:53;2021-05-17 19:41;2021-05-18;2021-05-18 03:17;shuddha;;;
Madhusūdan;G;Saptamī;2021-05-18 05:18;2021-05-19 05:08;2021-05-18 04:53;2021-05-19 04:52;2021-05-18 19:42;2021-05-19;2021-05-19 03:16;shuddha;;;
Madhusūdan;G;Aṣṭamī;2021-05-19 05:08;2021-05-20 04:29;2021-05-19 04:52;2021-05-20 04:51;2021-05-19 19:43;2021-05-20;2021-05-20 03:15;kshaya;;;
Madhusūdan;G;Navamī;2021-05-20 04:29;2021-05-21 03:22;2021-05-20 04:51;2021-05-21 04:50;2021-05-20 19:44;2021-05-20;2021-05-20 03:15;viddha;;;
Madhusūdan;G;Daśamī;2021-05-21 03:22;2021-05-22 01:52;2021-05-21 04:50;2021-05-22 04:49;2021-05-21 19:45;2021-05-21;2021-05-21 03:14;viddha;;;
Madhusūdan;G;Ekādaśī;2021-05-22 01:52;2021-05-23 00:01;2021-05-22 04:49;2021-05-23 04:48;2021-05-22 19:46;2021-05-22;2021-05-22 03:13;shuddha;;;
Madhusūdan;G;Dvādaśī;2021-05-23 00:01;2021-05-23 21:54;2021-05-23 04:48;2021-05-24 04:47;2021-05-23 19:47;2021-05-23;2021-05-23 03:12;shuddha;;;
Madhusūdan;G;Trayodaśī;2021-05-23 21:54;2021-05-24 19:36;2021-05-23 04:48;2021-05-24 04:47;2021-05-23 19:47;2021-05-24;2021-05-24 03:11;shuddha;;;
Madhusūdan;G;Chaturdaśī;2021-05-24 19:36;2021-05-25 17:11;2021-05-24 04:47;2021-05-25 04:47;2021-05-24 19:48;2021-05-25;2021-05-25 03:11;shuddha;;;
Madhusūdan;G;Pūrṇimā;2021-05-25 17:11;2021-05-26 14:44;2021-05-25 04:47;2021-05-26 04:46;2021-05-25 19:49;2021-05-26;2021-05-26 03:10;shuddha;;;
Trivikram;K;Pratipad;2021-05-26 14:44;2021-05-27 12:19;2021-05-26 04:46;2021-05-27 04:45;2021-05-26 19:50;2021-05-27;2021-05-27 03:09;shuddha;;;
Trivikram;K;Dvitīya;2021-05-27 12:19;2021-05-28 10:02;2021-05-27 04:45;2021-05-28 04:45;2021-05-27 19:51;2021-05-28;2021-05-28 03:09;shuddha;;;
